id,artwork_id,artwork_color_id,device_color_id,image_1,image_2,image_3,image_4,image_5
145,6,11,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000091.png.350x350-w.m80.jpg,,,,
146,6,12,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000092.png.350x350-w.m80.jpg,,,,
147,6,13,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000093.png.350x350-w.m80.jpg,,,,
148,6,14,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000094.png.350x350-w.m80.jpg,,,,
149,6,15,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000095.png.350x350-w.m80.jpg,,,,
150,6,16,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000096.png.350x350-w.m80.jpg,,,,
151,6,17,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000097.png.350x350-w.m80.jpg,,,,
152,6,18,3,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_silver_16000098.png.350x350-w.m80.jpg,,,,
153,6,11,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000091.png.350x350-w.m80.jpg,,,,
154,6,12,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000092.png.350x350-w.m80.jpg,,,,
155,6,13,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000093.png.350x350-w.m80.jpg,,,,
156,6,14,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000094.png.350x350-w.m80.jpg,,,,
157,6,15,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000095.png.350x350-w.m80.jpg,,,,
158,6,16,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000096.png.350x350-w.m80.jpg,,,,
159,6,17,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000097.png.350x350-w.m80.jpg,,,,
160,6,18,4,https://cdn-image02.casetify.com/usr/1233/2011233/~v95/3444443_iphone11-pro-max__color_gold_16000098.png.350x350-w.m80.jpg,,,,
161,7,11,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000091.png.350x350-w.m80.jpg,,,,
162,7,12,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000092.png.350x350-w.m80.jpg,,,,
163,7,13,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000093.png.350x350-w.m80.jpg,,,,
164,7,14,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000094.png.350x350-w.m80.jpg,,,,
165,7,15,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000095.png.350x350-w.m80.jpg,,,,
166,7,16,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000096.png.350x350-w.m80.jpg,,,,
167,7,17,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000097.png.350x350-w.m80.jpg,,,,
168,7,18,1,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_midnight-green_16000098.png.350x350-w.m80.jpg,,,,
169,7,11,2,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_space-gray_16000091.png.350x350-w.m80.jpg,,,,
170,7,12,2,https://cdn-image02.casetify.com/usr/24080/1104080/~v85/4091113_iphone11-pro-max__color_space-gray_16000092.png.350x350-w.m80.jpg,,,,
